"filename", "language", "JSON", "JavaScript", "Dotenv", "XML", "HTML", "Python", "JavaScript JSX", "PostCSS", "Markdown", "comment", "blank", "total"
"c:\Users\USER\Desktop\AgriNexus\server\src\controllers\farmerController.js", "JavaScript", 0, 622, 0, 0, 0, 0, 0, 0, 0, 62, 88, 772
"c:\Users\USER\Desktop\AgriNexus\server\src\middleware\authMiddleware.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 6, 38
"c:\Users\USER\Desktop\AgriNexus\server\src\middleware\errorMiddleware.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\USER\Desktop\AgriNexus\server\src\middleware\uploadMiddleware.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 3, 5, 28
"c:\Users\USER\Desktop\AgriNexus\server\src\models\adminModel.js", "JavaScript", 0, 194, 0, 0, 0, 0, 0, 0, 0, 5, 21, 220
"c:\Users\USER\Desktop\AgriNexus\server\src\models\buyerModel.js", "JavaScript", 0, 182, 0, 0, 0, 0, 0, 0, 0, 8, 19, 209
"c:\Users\USER\Desktop\AgriNexus\server\src\models\deliveryModel.js", "JavaScript", 0, 138, 0, 0, 0, 0, 0, 0, 0, 12, 18, 168
"c:\Users\USER\Desktop\AgriNexus\server\src\models\farmerModel.js", "JavaScript", 0, 393, 0, 0, 0, 0, 0, 0, 0, 34, 39, 466
"c:\Users\USER\Desktop\AgriNexus\server\src\models\userModel.js", "JavaScript", 0, 121, 0, 0, 0, 0, 0, 0, 0, 6, 15, 142
"c:\Users\USER\Desktop\AgriNexus\server\src\routes\adminRoutes.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 5, 34
"c:\Users\USER\Desktop\AgriNexus\server\src\routes\authRoutes.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 5, 16
"c:\Users\USER\Desktop\AgriNexus\server\src\routes\buyerRoutes.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 0, 0, 1, 5, 37
"c:\Users\USER\Desktop\AgriNexus\server\src\routes\deliveryRoutes.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"c:\Users\USER\Desktop\AgriNexus\server\src\routes\farmerRoutes.js", "JavaScript", 0, 77, 0, 0, 0, 0, 0, 0, 0, 32, 48, 157
"c:\Users\USER\Desktop\AgriNexus\server\src\utils\generateToken.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"Total", "-", 5205, 2587, 10, 50, 20, 188, 5773, 6587, 9, 922, 5733, 27084
